Date,Dividends
2020-07-01 00:00:00-04:00,0.006
2020-08-03 00:00:00-04:00,0.011
2020-09-01 00:00:00-04:00,0.007
2020-10-01 00:00:00-04:00,0.005
2020-11-02 00:00:00-05:00,0.005
2020-12-01 00:00:00-05:00,0.005
2020-12-17 00:00:00-05:00,0.006
2021-02-01 00:00:00-05:00,0.005
2021-05-03 00:00:00-04:00,0.004
2021-06-01 00:00:00-04:00,0.002
2021-07-01 00:00:00-04:00,0.002
2021-08-02 00:00:00-04:00,0.002
2021-09-01 00:00:00-04:00,0.003
2021-10-01 00:00:00-04:00,0.003
2021-11-01 00:00:00-04:00,0.003
2021-12-01 00:00:00-05:00,0.003
2021-12-16 00:00:00-05:00,0.005
2022-02-01 00:00:00-05:00,0.002
2022-03-01 00:00:00-05:00,0.008
2022-04-01 00:00:00-04:00,0.018
2022-05-02 00:00:00-04:00,0.025
2022-06-01 00:00:00-04:00,0.041
2022-07-01 00:00:00-04:00,0.069
2022-08-01 00:00:00-04:00,0.116
2022-09-01 00:00:00-04:00,0.168
2022-10-03 00:00:00-04:00,0.157
2022-11-01 00:00:00-04:00,0.241
2022-12-01 00:00:00-05:00,0.283
2022-12-15 00:00:00-05:00,0.327
2023-02-01 00:00:00-05:00,0.394
2023-03-01 00:00:00-05:00,0.278
2023-04-03 00:00:00-04:00,0.362
2023-05-01 00:00:00-04:00,0.392
2023-06-01 00:00:00-04:00,0.432
2023-07-03 00:00:00-04:00,0.417
2023-08-01 00:00:00-04:00,0.442
2023-09-01 00:00:00-04:00,0.431
2023-10-02 00:00:00-04:00,0.412
2023-11-01 00:00:00-04:00,0.427
2023-12-01 00:00:00-05:00,0.443
2023-12-14 00:00:00-05:00,0.455
2024-02-01 00:00:00-05:00,0.458
2024-03-01 00:00:00-05:00,0.41
2024-04-01 00:00:00-04:00,0.45
2024-05-01 00:00:00-04:00,0.428
2024-06-03 00:00:00-04:00,0.44
2024-07-01 00:00:00-04:00,0.439
2024-08-01 00:00:00-04:00,0.453
2024-09-03 00:00:00-04:00,0.444
2024-10-01 00:00:00-04:00,0.43
2024-11-01 00:00:00-04:00,0.415
2024-12-02 00:00:00-05:00,0.378
2024-12-18 00:00:00-05:00,0.372
2025-02-03 00:00:00-05:00,0.363
2025-03-03 00:00:00-05:00,0.313
2025-04-01 00:00:00-04:00,0.346
